ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.660212026118102813e+00,1.682837468565183201e+02,3.094436359124268711e+04,5.858769130547582193e+00,3.109308583178784602e+02,5.236712975009444335e+02,1.788423519296480890e+01,7.704231805170030611e+01,3.749701241099617555e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.159778586880677551e+02,1.710722422582761646e+04,5.607060453087124863e+00,3.269439777438669807e+02,4.362561939726492142e+02,1.418906220612370817e+01,5.985547582615387796e+01,5.459250956028730783e+00,0.000000000000000000e+00
3.902475685915096193e+00,1.969032467083208076e+02,2.116750009896876873e+04,6.996311586298768148e+00,3.337757766108135229e+02,4.444788825068980032e+02,1.660903315578991624e+01,9.018167588474520358e+01,4.528522696326911401e+00,0.000000000000000000e+00
5.400301780729466650e+00,1.407390622511395861e+02,1.726659342192307668e+04,1.005685248403349519e+01,3.283582406986835167e+02,4.728740732754292821e+02,1.125638116690947754e+01,5.693190644575619785e+01,4.824786389767523609e+00,0.000000000000000000e+00
6.514415093251676225e+00,1.987673512594560918e+02,2.121870287119019486e+04,8.670936919913119212e+00,3.235963490101316893e+02,4.132904500885347261e+02,1.489999956669697667e+01,7.984784281372556336e+01,5.200885076539757179e+00,0.000000000000000000e+00
3.445061864385212669e+00,2.079262601879937620e+02,3.342476867849480186e+04,8.782147480773485171e+00,3.840070058017212205e+02,4.417858756739386763e+02,1.380590221127079076e+01,3.028459719800270378e+01,4.184396969028851387e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.457681806021725777e+02,1.322493563897695822e+04,7.906444720606137011e+00,3.040019927974151983e+02,2.989906664999324448e+02,1.272952472054225836e+01,4.953684880202186491e+01,4.004871127571583145e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.664210180681174052e+02,2.636296501230931244e+04,7.700063469729126808e+00,3.953894903418456011e+02,3.644801067037377607e+02,1.034895075743781945e+01,5.300838135392041295e+01,3.991564247799306298e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.481530614450866210e+02,1.519341347396722085e+04,9.046832707257230766e+00,3.070117926225653378e+02,5.638047433250860649e+02,1.656865556799743899e+01,5.267618503420982989e+01,6.038184953183586501e+00,0.000000000000000000e+00
7.181448580829174588e+00,2.096256005362904489e+02,1.519622998748384452e+04,5.994678646449973058e+00,3.383364310774871910e+02,3.421112862851925911e+02,7.922598333022619954e+00,7.153795325579359599e+01,5.088859989138795115e+00,0.000000000000000000e+00
9.825489908134390049e+00,1.907566182870043008e+02,1.967789246555201316e+04,6.757540731413940627e+00,3.337757766108135229e+02,4.528362348772383257e+02,1.689903780001640143e+01,4.708197118577764684e+01,2.857472426051184122e+00,0.000000000000000000e+00
1.043329098280437961e+01,1.177912295503969773e+02,2.232689204571865048e+04,8.161504810728331449e+00,3.077075086118240392e+02,4.129868337903324118e+02,1.289070856451178315e+01,6.573347838938281029e+01,5.057310516515726384e+00,0.000000000000000000e+00
7.414148196336244112e+00,2.350445344873710667e+02,3.255585253707368975e+04,6.845952023844903422e+00,3.871753164773567732e+02,4.119833641670119846e+02,1.024481506835980049e+01,4.448929725226032161e+01,3.160624468232637874e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.322804520235320922e+02,1.478720626485817411e+04,5.474914831733125986e+00,3.337757766108135229e+02,3.839817230247576276e+02,1.216693714505169055e+01,8.608072748444091360e+01,5.029166724080734951e+00,0.000000000000000000e+00
5.115817063771218365e+00,1.919527429748588361e+02,1.962054532861215193e+04,6.060712994989327029e+00,3.238363839136296178e+02,4.417483793248687221e+02,1.096648615295345053e+01,4.923823132273567893e+01,3.902088767643753453e+00,0.000000000000000000e+00
3.641629777473380791e+00,1.839087222618269095e+02,2.475207245975540354e+04,5.538314133481364365e+00,2.860595560492712934e+02,4.568600959410410951e+02,9.034066752713329151e+00,7.359465675665640561e+01,3.464353035155023797e+00,0.000000000000000000e+00
5.618064405909149350e+00,3.042359121123166688e+02,1.728197516841160905e+04,6.101083505101921212e+00,3.337757766108135229e+02,3.994715662810941694e+02,1.226500157751359943e+01,8.158899245649904231e+01,2.896546941304473766e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.434537313119233488e+02,1.994227321818484052e+04,5.890754583106120101e+00,3.337757766108135229e+02,4.271306714819021977e+02,2.246989198835694879e+01,5.312409421895880968e+01,2.907563915193339898e+00,0.000000000000000000e+00
9.267187530763548509e+00,1.986143947190959977e+02,2.468372356602965374e+04,6.110612421393192051e+00,3.280775332014692935e+02,3.968769490579176136e+02,1.647196935315514565e+01,3.038331457464201435e+01,4.324004645618281018e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.338589956912124137e+02,1.170392390704785430e+04,4.599387943421726632e+00,3.090393203527600576e+02,3.493996325323045085e+02,1.833889254980601891e+01,4.267746528271936768e+01,3.510004044590528949e+00,0.000000000000000000e+00
5.331940479018537182e+00,1.948740654457995731e+02,1.665887650316357394e+04,7.993829562375315945e+00,3.166751618281668925e+02,3.351203984374611764e+02,1.018051380263159444e+01,5.957271371122686787e+01,4.434820257956547884e+00,0.000000000000000000e+00
7.145771545218821075e+00,2.386899285116600709e+02,2.878034043163272509e+04,6.814028701209069894e+00,3.859756504867897888e+02,3.320327063306858122e+02,1.109316339745265623e+01,6.613804474710018155e+01,5.182590703980226365e+00,0.000000000000000000e+00
9.920691058768152715e+00,2.028174830014264103e+02,9.973934059208535473e+03,6.882248306781502123e+00,3.373505291096371366e+02,3.331924699376806416e+02,2.391760126127496733e+01,7.183362395976600112e+01,4.690707230132489691e+00,0.000000000000000000e+00
4.758439424671476736e+00,1.833494541059976939e+02,2.156842877903588669e+04,4.731348984614180964e+00,3.337757766108135229e+02,4.039441682092024735e+02,1.866822945752124951e+01,6.691240003430596062e+01,4.542801461749174763e+00,0.000000000000000000e+00
5.702925976824722021e+00,2.168504738726151970e+02,3.560644017680797697e+04,7.184351089168799831e+00,3.337757766108135229e+02,5.046382604257503317e+02,1.614079001919799339e+01,7.753618351780308160e+01,4.137739016206604781e+00,0.000000000000000000e+00
6.953864225511058983e+00,2.096382929790206049e+02,1.057518628088936021e+04,4.462707246137982864e+00,3.156065944003923391e+02,3.911843150860055971e+02,1.328533391608596048e+01,8.739088897956338542e+01,3.195710328196263994e+00,0.000000000000000000e+00
1.068296642580597933e+01,1.733754983501208073e+02,1.575874062138891532e+04,5.570783575394458786e+00,3.073525857659269604e+02,3.238079132465807106e+02,1.009086975166979983e+01,7.847278445385454404e+01,3.999775381550060960e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.298905723456738315e+02,3.441585314587309404e+04,6.321928990361138645e+00,3.045352242338838096e+02,4.703291685421987154e+02,1.859940992382126979e+01,7.240363386888094510e+01,4.405586000338580277e+00,0.000000000000000000e+00
8.757257397440991298e+00,2.001914004420572724e+02,2.153622468744541038e+04,4.915101054543185910e+00,3.178829004978370563e+02,4.047177991564453237e+02,1.376832330642133684e+01,4.793087187711020647e+01,3.626135441612230448e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.683884307742953297e+02,2.749230730658780885e+04,7.046224797696413411e+00,2.998204779108215803e+02,3.837950199903257840e+02,1.618206649367436967e+01,7.572943388991457425e+01,3.048057223106976021e+00,0.000000000000000000e+00
7.809631898019410379e+00,1.004576150915830937e+02,1.201355062876453121e+04,5.212314602065352354e+00,2.472008260476430905e+02,6.052201243500055625e+02,9.611348740011237624e+00,6.608417363713341786e+01,2.447444463910632972e+00,0.000000000000000000e+00
6.652488090855706915e+00,1.450101719190834046e+02,1.987178844830586240e+04,4.961066380191502034e+00,2.880521917368515119e+02,5.459749937624029599e+02,1.094202425601213235e+01,7.172741406053459912e+01,3.742090426349668153e+00,0.000000000000000000e+00
9.147197055336919291e+00,2.117141417776413164e+02,1.192061083564620640e+04,7.230794769337400396e+00,3.397519188007938169e+02,5.277089100130407360e+02,1.827531210927764960e+01,4.763488493437152727e+01,3.794531591103210477e+00,0.000000000000000000e+00
1.056074463621819604e+01,1.818933655615535656e+02,2.178365103336337052e+04,6.991259996238134100e+00,3.403903783551729703e+02,4.565564021223437976e+02,1.648283536696391138e+01,3.425204907835230017e+01,3.964686350022128991e+00,0.000000000000000000e+00
7.484254837727466025e+00,2.600921725733719541e+02,3.061661514885369616e+04,9.379133540507623934e+00,3.337757766108135229e+02,4.046707773281626146e+02,1.593448387120707821e+01,6.662102654516650091e+01,4.781188176562563896e+00,0.000000000000000000e+00
8.520806572970302639e+00,2.383351124555096874e+02,2.877965001103359828e+04,8.282808464509608726e+00,3.816493228718945829e+02,4.813188026886131183e+02,6.016336609271206726e+00,3.909117136225334832e+01,3.940604529794683231e+00,0.000000000000000000e+00
4.999413810796919044e+00,1.902870501493602831e+02,2.432386590304594574e+04,7.230164126862035801e+00,3.248930378422556942e+02,4.053304820275902784e+02,8.236557503105302658e+00,9.942738491828505687e+01,4.460683931737436936e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.578011935542041613e+02,1.696362501173748751e+04,8.335618549876713246e+00,3.000442342811120398e+02,3.609959944880748708e+02,1.282386094937078447e+01,7.171700509752149344e+01,4.405385705659032425e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.550557268259343573e+02,2.055724043175221595e+04,8.187319049670325199e+00,3.337757766108135229e+02,2.901809831105054514e+02,1.662225518389209356e+01,5.962205746210794644e+01,4.089907689677866998e+00,0.000000000000000000e+00
3.906078354956169729e+00,2.334028350124758049e+02,3.214479993361832021e+04,6.994839617305097512e+00,3.483594482139766910e+02,2.694490512269392752e+02,9.654125600268400831e+00,6.374306384016443872e+01,3.902879711657464057e+00,0.000000000000000000e+00
6.391353623832182862e+00,2.130178296827953091e+02,2.096547830885357325e+04,5.375559891974688753e+00,3.276505425217070524e+02,3.693381209158567913e+02,1.375810517074375916e+01,1.791572256918079376e+01,3.923749169296510075e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.294856936788604855e+02,3.572969270863032580e+04,8.810843045016396147e+00,3.849437789484207997e+02,2.963975472430137188e+02,1.692709217980689118e+01,6.639629294676802829e+01,3.855602211916699940e+00,0.000000000000000000e+00
8.692092012708041437e+00,1.951437387840549036e+02,2.465623967944457036e+04,8.231900338377290183e+00,3.337757766108135229e+02,3.983454180035162153e+02,1.238077079275234382e+01,4.844072486554685497e+01,4.477960248233930685e+00,0.000000000000000000e+00
8.085759800882218684e+00,1.277396738293727196e+02,3.265391036026758229e+04,6.534237410114921651e+00,3.337757766108135229e+02,4.162396300704015744e+02,1.111965925479370476e+01,7.827505003771153724e+01,4.068688909481665839e+00,0.000000000000000000e+00
6.203977702278348438e+00,2.123066182866861595e+02,2.181507414790552139e+04,7.873991884545469055e+00,3.337757766108135229e+02,3.621080043139624536e+02,1.493301266109870085e+01,6.387381994728531254e+01,5.215689206119034971e+00,0.000000000000000000e+00
5.058108868565137861e+00,2.385693804134994309e+02,3.487393452287070249e+04,8.983276144386596940e+00,3.744335045168567717e+02,6.697250861801790052e+02,1.335318143396352752e+01,7.652179974552397823e+01,5.106655774420083560e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.034647586600945601e+02,2.742016742458203953e+04,8.417305032089528183e+00,3.337757766108135229e+02,4.859745004578137468e+02,1.135113273070851392e+01,6.786996367590209900e+01,4.620793451653218753e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.112005260088970715e+02,1.283048413377542784e+04,4.502117033961811288e+00,3.269615175657506825e+02,3.333298479586676990e+02,1.604514847686687062e+01,4.989840563542834673e+01,3.439740041549919525e+00,0.000000000000000000e+00
7.261550522070717939e+00,1.798897882378845736e+02,2.496477770309652260e+04,5.837086492837436857e+00,3.492692713014565697e+02,5.011827807434099782e+02,1.728771327829633719e+01,5.099300645308108670e+01,3.636364182680496882e+00,0.000000000000000000e+00
7.160467230808739814e+00,1.830893100379288114e+02,6.743346065530400665e+03,3.803036423597985660e+00,2.775990986210596247e+02,4.280363443504035104e+02,9.799624689613040118e+00,9.003537367362071109e+01,3.884891044147279260e+00,0.000000000000000000e+00
5.704764776213017363e+00,1.162993298837958633e+02,3.322358152874991356e+04,7.050503159576974710e+00,2.970781534785210738e+02,5.043786809676548728e+02,9.001820487566135398e+00,4.814703125348920310e+01,4.157533407489737876e+00,0.000000000000000000e+00
6.217273135160340303e+00,1.309444638884656342e+02,1.946038281898756031e+04,7.092462955305368411e+00,3.001312719983036459e+02,5.566537100333977151e+02,1.408360835219548335e+01,5.789707470680768608e+01,5.325833445695803192e+00,0.000000000000000000e+00
8.679934969964184788e+00,2.422286672855190375e+02,2.298405095148242981e+04,7.518764659399903572e+00,3.337757766108135229e+02,3.529425881234903386e+02,1.870440905927489084e+01,6.990790244915216078e+01,3.873470298448301818e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.193009142133702767e+02,1.485946642428366067e+04,5.598326765629257906e+00,3.444423936728913986e+02,4.252135748076128721e+02,1.577183436605827183e+01,4.935200147780444269e+01,4.655916598688821573e+00,0.000000000000000000e+00
6.897322141100197257e+00,2.113601667210615460e+02,2.565077764312026557e+04,6.766009906754590908e+00,3.337757766108135229e+02,3.830143101678531821e+02,1.393478804138067062e+01,9.052332986300933726e+01,5.022783630004574285e+00,0.000000000000000000e+00
3.514545528745279146e+00,1.587320757614019158e+02,2.302966361356363632e+04,6.821679099461131379e+00,2.865228468169784719e+02,3.073791420351913075e+02,9.712231910918319500e+00,7.985092857457249238e+01,3.762615331099366855e+00,0.000000000000000000e+00
3.722500485933720071e+00,1.636397469205817572e+02,3.796216799126101978e+04,6.684570274191341532e+00,3.266940178603026652e+02,4.675629728711817847e+02,1.456726886018827827e+01,5.057797909828097715e+01,3.662837731991359203e+00,0.000000000000000000e+00
6.455004797496717295e+00,1.766839727768700641e+02,2.446804839035459736e+04,5.756930038692855689e+00,3.147995982838095870e+02,4.775813461557028745e+02,1.624550434161068324e+01,5.772972382844005068e+01,2.293431406412862472e+00,0.000000000000000000e+00
7.316804753880918888e+00,2.175228619622911879e+02,3.190339981153224653e+04,9.865047502682179115e+00,3.769379723056656530e+02,4.259134001802693206e+02,8.992754272254671832e+00,6.950921982211525574e+01,3.508372649783595865e+00,0.000000000000000000e+00
1.844538366498841953e+00,2.337643427207268871e+02,2.868959577768293093e+04,7.724432299963911674e+00,3.337757766108135229e+02,4.103872638377080762e+02,1.561185929630522828e+01,5.429944409418921225e+01,5.013463351103733423e+00,0.000000000000000000e+00
5.519125656437607219e+00,1.687285830395671837e+02,1.253160192106475006e+04,7.730722947925030120e+00,3.337757766108135229e+02,4.435703720974922248e+02,1.809907810386158289e+01,6.639629294676802829e+01,3.758995860323916194e+00,0.000000000000000000e+00
7.408985466924612240e+00,2.049617498108947586e+02,9.566122270169200419e+03,6.505923138805981054e+00,3.114526625117488265e+02,5.041459940838664693e+02,1.153214400774123760e+01,8.110693773146243757e+01,3.772420927989514006e+00,0.000000000000000000e+00
5.976769618087597991e+00,2.589527320159533019e+02,2.726798186095415440e+04,7.648599331443458382e+00,3.836571521070966924e+02,5.141189201187660274e+02,1.225679025119035259e+01,8.246979842996725552e+01,2.994671095508217640e+00,0.000000000000000000e+00
6.395359131671061625e+00,1.338342291043792898e+02,2.382727501540288722e+04,5.127746861327199923e+00,2.669084282807846193e+02,5.734002951499592200e+02,9.833874584580257761e+00,9.502660927984372563e+01,4.191217514711704339e+00,0.000000000000000000e+00
6.209642259708483714e+00,1.954177209489811560e+02,1.311670771178702489e+04,7.879347670859674579e+00,3.337757766108135229e+02,4.172416560263487781e+02,7.507662314515300750e+00,7.054738690612056473e+01,3.612519614946714253e+00,0.000000000000000000e+00
6.762832521891738224e+00,2.320751765558761122e+02,2.715938434523353135e+04,7.884990657868600650e+00,3.504452926972019213e+02,4.654137746213497735e+02,1.386396488233111768e+01,6.481225738319596985e+01,4.916579160751282984e+00,0.000000000000000000e+00
9.918717063854170846e+00,1.991812510733905697e+02,2.147027830541328149e+04,6.799841410225562655e+00,3.291784290260763441e+02,4.305077068652868775e+02,1.596604294436207283e+01,5.929227326975215817e+01,3.385508443856719119e+00,0.000000000000000000e+00
1.015544017022192058e+01,3.002924757958402324e+02,1.265236297865808774e+04,6.655126362567496123e+00,3.986477857459576057e+02,4.874591310307552590e+02,9.347633986485675450e+00,6.791978868703810690e+01,5.002467259922081411e+00,0.000000000000000000e+00
8.721726710620581358e+00,2.063696823847839994e+02,2.860805207637254352e+04,6.325442403664850666e+00,3.774045381851992715e+02,5.069383527298252829e+02,1.355375100724853610e+01,4.238148393753717613e+01,2.555026903996873600e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.979797828412592935e+02,1.715330616345209273e+04,7.659203939381075799e+00,3.292803146030727248e+02,5.751146944234249077e+02,1.187098148234332484e+01,6.910983568283255352e+01,4.383921813522324129e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.991078855640336087e+02,2.972191163035012869e+04,6.869690215355936047e+00,3.573032209674809678e+02,4.207095912220729588e+02,9.226618665284831877e+00,5.529428326667228077e+01,3.355164642176155176e+00,0.000000000000000000e+00
6.099646705468386720e+00,2.379199267632531019e+02,2.041684099619073095e+04,8.457830699274376585e+00,3.337757766108135229e+02,2.911048365690675723e+02,1.927005426046378034e+01,9.313800948154016623e+01,3.172789769152876804e+00,0.000000000000000000e+00
9.026787719511631281e+00,2.532170741709844890e+02,2.796507214592841046e+04,6.588374366182637942e+00,3.735532353383944155e+02,5.883196505363993083e+02,1.614573205277508805e+01,5.912445084811042761e+01,2.019042018201165689e+00,0.000000000000000000e+00
6.953371603389548739e+00,2.031465467521771870e+02,1.160910905452779662e+04,5.495737654707861353e+00,3.042831932144039229e+02,5.511433371665813183e+02,9.387781275530812763e+00,5.595800559485763870e+01,3.651865808422897874e+00,0.000000000000000000e+00
6.140877556947864413e+00,1.978760897493668267e+02,2.668787448333394059e+04,7.587196417947506433e+00,3.292318529350189351e+02,5.480727613161171803e+02,1.583633020523615187e+01,4.126364788367695269e+01,5.359460295012963726e+00,0.000000000000000000e+00
7.077874006530454842e+00,2.206705396067658853e+02,2.387337821013366556e+04,6.181839616382845293e+00,3.419872340783839491e+02,3.330507859433458862e+02,1.066179893760397590e+01,9.029777033020964438e+01,4.764508264921447633e+00,0.000000000000000000e+00
5.488314309012512382e+00,1.358023617006093673e+02,2.148515319519107652e+04,8.187415790729190235e+00,2.806032866703197897e+02,4.413311374586934903e+02,1.486026268337496958e+01,8.828734556180850745e+01,5.066786271784541995e+00,0.000000000000000000e+00
7.205559174588729299e+00,1.203276153436088833e+02,2.462786756046893424e+04,6.202469332114029399e+00,2.897686965533281978e+02,4.184332899200772999e+02,1.364314708586931602e+01,6.373373237019647775e+01,3.710053125679873887e+00,0.000000000000000000e+00
9.177869865892432699e+00,1.632748282557014932e+02,2.086833121899880280e+04,7.726040434165081905e+00,3.204214321786777759e+02,4.269943931689401779e+02,1.021427460324065351e+01,6.243092615683987390e+01,3.108769987913454713e+00,0.000000000000000000e+00
4.270716194733735982e+00,1.668377085402853766e+02,2.440525053495276006e+04,7.391510138420655629e+00,2.972067391683036135e+02,3.495189103676489140e+02,1.347852644549885781e+01,5.447483954440166087e+01,3.763905902952325189e+00,0.000000000000000000e+00
7.348844511550613134e+00,2.232649397302073737e+02,1.151904652735659147e+04,8.889558679820604326e+00,3.337757766108135229e+02,4.941584340869637231e+02,1.814537425377716318e+01,7.371552201680901817e+01,4.880875156180850993e+00,0.000000000000000000e+00
8.526169869777788790e+00,1.756128363217432593e+02,1.183712335960844939e+04,7.483708837987377294e+00,3.083985155382852668e+02,4.742404822906340200e+02,2.184591625254205027e+01,5.237220110667482231e+01,5.083014141516922990e+00,0.000000000000000000e+00
7.080794504276835433e+00,1.690419174981175843e+02,3.615282089932449890e+04,8.330388898197661263e+00,3.290397101761649310e+02,5.907487871802912878e+02,1.769511435712604452e+01,1.031504626453783544e+02,3.995973787492760998e+00,0.000000000000000000e+00
2.612035914817261162e+00,1.888041257304088276e+02,3.479825258680310799e+04,6.796439154088149692e+00,3.337757766108135229e+02,4.680802666084355224e+02,1.317076320920329913e+01,4.952376998306769451e+01,4.765205370159007359e+00,0.000000000000000000e+00
8.490571562027739105e+00,2.041236483933578540e+02,2.298979638994664128e+04,8.270792936726149236e+00,3.588471149970846454e+02,4.350008983082295231e+02,1.708424565487615610e+01,6.242163705791028860e+01,3.875556805136775029e+00,0.000000000000000000e+00
7.080794504276835433e+00,2.135419322925906442e+02,2.253971161451215085e+04,6.957204178586864352e+00,3.340411862066902131e+02,4.633988470908371369e+02,1.162301915797763563e+01,6.961584964492826089e+01,3.398592587316656477e+00,0.000000000000000000e+00
8.858401531200467360e+00,2.546175186642166466e+02,9.624300462110113585e+03,7.954015627092477558e+00,3.484081949016407407e+02,3.443033625222587375e+02,7.935467758332208632e+00,7.810854981556727239e+01,5.525726338121716097e+00,0.000000000000000000e+00
6.098156521472779978e+00,1.899958459934179871e+02,2.777690105169339222e+04,6.443097877869452539e+00,3.479304004157372106e+02,2.458596319712526395e+02,1.463688225637758933e+01,7.342463245501653546e+01,3.977362364329972699e+00,0.000000000000000000e+00
8.419970682128990802e+00,1.857189887936700075e+02,1.323798960457080648e+04,3.998265840980653962e+00,3.081426388528512916e+02,4.636472773728417565e+02,1.720956505547081861e+01,4.878311165978784203e+01,3.962478314282774861e+00,0.000000000000000000e+00
9.286155021432371370e+00,2.226615513815935117e+02,1.231126836597807596e+04,7.289866041052649237e+00,3.322393594928602738e+02,3.537400999970642488e+02,1.417176256533548440e+01,6.639629294676802829e+01,5.239981870081681592e+00,0.000000000000000000e+00
7.875895135481787435e+00,2.262847878168121554e+02,1.271024945161175128e+04,7.303126583151655637e+00,3.464032581373675157e+02,4.453741474328598997e+02,6.063461912529135134e+00,6.312804403102222750e+01,4.238589203481520684e+00,0.000000000000000000e+00
7.725332908074756588e+00,2.522654911978565337e+02,3.647773811241908697e+04,8.386761008233790449e+00,4.265435897565110963e+02,3.394113266563141451e+02,1.748584424894602307e+01,6.048388466227112303e+01,3.724836703644700098e+00,0.000000000000000000e+00
3.388090610523891044e+00,2.120289444657202012e+02,2.023012557695176656e+04,8.569781529733312198e+00,3.491559987127520230e+02,3.539129274416657722e+02,1.820833967189986424e+01,8.238787399017336099e+01,2.798600948267048860e+00,0.000000000000000000e+00
6.745306715080959137e+00,2.184246370192335860e+02,2.187183870004249184e+04,7.165509192468923594e+00,3.337757766108135229e+02,3.730501016392132669e+02,1.682661946476230241e+01,7.408607997264363121e+01,3.902352589876501465e+00,0.000000000000000000e+00
